,id,rank,Country,Continent,TwoLetterSymbol,ThreeLetterSymbol,Infection_Risk,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,TotalTests,Population,one_Caseevery_X_ppl,one_Deathevery_X_ppl,one_Testevery_X_ppl,Deaths_1M_pop,Serious_Critical,Tests_1M_Pop,TotCases_1M_Pop
64,5de37feb-3a9b-42d2-8c09-345c543829a7,47,Hong Kong,Asia,hk,hkg,25.74,0.54,871.67,90.21,1957542,0,10479,0,1765930,0,181133,66284763,7604299,4,726,0,1378,9,8716749,257426
65,81672076-33c2-48e4-81d2-db6ce456cc78,50,Georgia,Asia,ge,geo,44.98,0.95,426.33,91.72,1785138,0,16912,0,1637293,0,130933,16920079,3968738,2,235,0,4261,0,4263340,449800
66,802162af-bec2-4b62-849e-4ecbf1d9c380,51,Jordan,Asia,jo,jor,16.96,0.81,166.99,99.08,1746997,0,14122,0,1731007,0,1868,17201885,10300869,6,729,1,1371,59,1669945,169597
67,935ff8a6-77f1-4114-9403-9cbb7fa9cb99,53,Pakistan,Asia,pk,pak,0.69,1.95,13.32,97.73,1574470,38,30628,1,1538689,0,5153,30570862,229488994,146,7493,8,133,53,133213,6861
68,d1fc1231-ca5a-4f3c-b4cb-4770cdf15a98,55,Kazakhstan,Asia,kz,kaz,7.26,0.98,60.27,98.94,1395113,66,13693,0,1380356,0,1064,11575012,19205043,14,1403,2,713,24,602707,72643
69,49bd08ef-9b3b-49c0-b8e6-fa7816ff0700,62,Lebanon,Asia,lb,lbn,18.24,0.88,71.74,89.21,1219141,0,10713,0,1087587,0,120841,4795578,6684849,5,624,1,1603,74,717380,182374
70,5d7de038-91f5-4150-b3f0-ecb490d78997,68,UAE,Asia,ae,are,10.31,0.23,1946.37,97.99,1039867,0,2348,0,1018947,0,18572,196228625,10081785,10,4294,0,233,0,19463679,103143
71,6743d550-56b6-4a61-9ef4-67cd895e11ef,70,Nepal,Asia,np,npl,3.31,1.2,19.73,98.74,1000759,0,12019,0,988168,0,572,5964376,30225582,30,2515,5,398,0,197329,33110
72,75989859-6f57-4c6a-82de-9134e3698840,74,Mongolia,Asia,mn,mng,29.19,0.22,119.3,99.61,986190,0,2179,0,982298,0,1713,4030048,3378078,3,1550,1,645,192,1193000,291938
73,8322c6dd-f9f8-4061-bf31-a64e1ba32344,76,Saudi Arabia,Asia,sa,sau,2.3,1.14,124.67,98.36,824003,0,9423,0,810523,0,4057,44687206,35844909,44,3804,1,263,83,1246682,22988
